,GSM246528,GSM246538,GSM246553,GSM246563,GSM246628,GSM246633,GSM246641,GSM246668,GSM246669
FCN3,0.6816939500516959,-0.27860809435993383,0.20790040898100023,3.5880587760066116,0.8903439481667421,-0.15330578568725345,5.204242962403777,-0.5222664004478463,-0.04321746490082307
PRSS23,2.4583679190618053,-0.4243857115916221,0.0038203475867815816,5.218459002186775,1.3005405991574992,-0.08920200709390258,0.29666456875888725,-0.44715799106219406,-0.25151061114414575
ALDH1A3,0.8621182757290599,-0.2333766899782803,0.14191253582605484,6.213433317109936,1.930177865807862,-0.19759248023217998,1.584221956318255,-0.4600585753384681,1.0900120225673666
COL4A2,0.14624231733911405,-0.21817712905355985,0.1405192933013996,3.251118854991469,1.4680967996135497,-0.42250938646164626,2.707305265862364,-0.5235998194798266,0.09317834616936882
COL4A1,0.8660270923152857,-0.41617113583346155,0.901700349357626,1.8180780794005185,-0.32782723216203163,-0.5505990895313698,2.528701241206961,-0.23465294788264904,-0.8746076335001717
VWF,10.308497586039968,-0.445865188503703,1.0069542679565995,7.304598414625779,1.0865554823502481,-0.4142829458359595,7.393078224749515,-0.14575583825796737,0.4905193251506337
FN1,6.687277974387245,-0.3520467279821661,0.9709002387992319,5.217289864039964,0.3833408724716121,-0.23447040197913208,0.8146380755856881,-0.40424419369372827,-0.23605974569136745
CDH5,6.685413442640721,-0.49893152502705923,0.21711864909027034,3.879664087253637,1.23510316273865,-0.16849276125126691,5.309828889147888,-0.41076147802759394,-0.07650716427494486
PODXL,1.4879467588299762,-0.614890808862171,-0.4985379417499596,2.254786728677661,-0.5167198479889729,-0.35810339701323335,5.653551739271454,0.14236932514850742,0.44088409528601535
APOLD1,12.998173356197057,-0.27668980242356106,4.066581740621295,4.162391870559173,0.604511123045379,0.009906231611421653,11.234059466972926,0.11525337361674383,1.0118019754018208
COL6A3,5.735386742828284,-0.3778631282049303,3.4684089239894584,2.9931273151612428,0.5929128588470258,-0.20750262747177897,9.05608795012686,-0.7772008132712765,-0.7480289671420862
CRIP2,-0.3471199681657448,-0.2043795603852196,-0.66866269534199,-0.17504076280979625,-0.33164638888254866,-0.5033793946584219,3.5522480078996006,-0.5138856672682021,0.7766937379950255
RFTN1,1.52348958953311,0.7466163538299391,4.536648607318192,0.379897900692946,-0.11680058961200447,-0.28373394070375524,5.201644656374747,0.0735139122605301,-0.8218819831054917
A2M,2.4131309792326596,0.632526401172487,0.44579728435836874,1.4072653223497464,0.5040035953465761,-0.4080417254406095,7.779780448685399,0.15782595721245654,0.4762277304562183
COL6A2,1.20711465845155,-0.043525050328688974,5.962071464100764,0.5870507977096793,-0.27953226324839947,-0.3815574126424256,0.9770821688881072,0.12592192933097443,2.6479058302608105
GIMAP6,1.6824918862647618,0.8397508682103807,5.140597108922389,0.6416184215664711,0.12940915647508006,-0.4802785418431282,2.6519064714645184,0.1370243179865823,0.7164585566476855
IQCG,0.3576231815452367,0.2933463367726465,3.015159886524044,-0.36867273387194727,-0.6355538210158205,-0.525223668710456,5.562108293724554,-0.004022077250336416,0.41724738950563284
HLA-DRA,2.0225114977837784,0.24304574139316634,4.926270923078379,0.6961889204821973,-0.24422232428303645,-0.42930719164486164,4.392249956759633,0.18225084180717482,0.20126430690730557
HLA-DPB1,0.9776839859881592,0.39122900522591325,4.396678840206886,0.5089863508970548,-0.4867341083879139,-0.2501044610440249,2.496931822929218,0.7189686213799389,1.084285340364578
GAGE3,-0.3825538622686178,-0.3584279812095148,0.16165368077350217,-0.17798738009014697,-0.5298238573514789,-0.3857237496921515,-0.1531538040498984,-0.4277588632688287,-0.06611169444443112
MAGEA12,-0.12248850775180856,-0.5064186578962663,-0.006657484438925846,-0.18190117040745357,0.026073207524585862,-0.8205606234001517,-0.09144835074506523,-0.7362145842597259,-0.5447629408310712
CTAG2,-0.42905165555314856,-0.41544605003885815,-0.9222198063739576,-0.23690131027026104,-0.1784984644645082,-0.561112442447979,-1.075676381921116,-0.5560194778526328,-0.40502777704698006
MAGEA1,-0.3114615987292845,-0.32903196143783503,0.05278214725423335,0.32662295389672114,-0.975016938701587,-0.27040381268870306,-0.824353733516688,-0.7853000299755962,-0.45065457381000446
MAGEA6,-0.5936365991044062,-0.21822072686204555,0.2561693482336155,-0.14891566378610935,-0.6327808012080901,-0.6498173408849018,-0.30500824905610624,-0.3887301352075247,-0.2255030736369798
FGF13,-0.6578932678019446,-0.20457230885328767,-0.08486884201182393,0.0019128943022143614,-0.04101126499992694,-0.6592420409292662,-0.019309393967531455,-0.3009653961362743,-0.5159599420303158
GCDH,-0.3537622011749734,-0.3977686255197458,0.04936573793955474,0.026956755406442837,-0.2568631762858349,-0.5053212955459644,-0.20703364008501296,-0.6314745285808455,-0.2642345698855258
DOLPP1,-0.01925530594044318,-0.39095601663426977,-0.15782637076681696,-0.3176711967887969,-0.37013823650020433,-0.3083665337408956,-0.29646046209222354,-0.43240180752140933,-0.12534971253834643
UTY,-0.40256827415588,0.0031025986194785243,0.10036654791165249,-0.06673835975996555,-0.7376113405646924,-0.46937846761200835,-0.5105032150285383,-0.7264766970347732,-0.4399248592955833
TTTY15,-0.3900117372709776,0.15605982286408104,-0.1406522982069938,-0.3390723851310307,-0.4076279140432171,-0.3362696306827531,-0.28733149529185026,-0.5026800990370437,0.10319920350868889
USP9Y,-0.3318014930996761,-0.3829616928623993,0.1382842130714895,-0.0716690376648603,-0.1602957111107518,-0.4976186231219636,-0.3172367730010336,-0.38272960524395744,-0.3090007733576479
EIF1AY,-0.38017237590892217,-0.2555633256474087,-0.0478909706479548,-0.2063239615347632,-0.24142331352064386,-0.3388939763809566,-0.4453545172678375,-0.44930809046704456,-0.4243199368209312
DDX3Y,-0.3537412188126086,0.10775402312195055,0.4992022583439909,0.25244306197464195,-0.3606356873634808,-0.397138379752027,-0.5643265651184863,-0.4858596563711227,-0.4554942076512294
TXLNGY,-0.33137397577260036,-0.1707930810802089,-0.35340052019447676,-0.22899490985661375,-0.3329669105618028,-0.33775909651990416,-0.370188403356785,-0.34691104942391887,-0.2952548343538016
