,CR,PR,MR,PD
RPL27,-0.3126438407393685,0.3829502478635571,0.20306177115967136,0.07092169398101951
BHMT,-0.3119071064066186,-0.1618473368724171,-0.28700525122543064,-0.4990874007818311
HCG4B,-0.2532546132160409,-0.27060595545259897,-0.2319721879105715,-0.2786891599785795
COL4A6,-0.5285759859142066,-0.49517048715896184,-0.4084958564724132,-0.20126869629135824
RAB15,-0.271955744935261,-0.005448244048488938,-0.07489015806200003,-0.5236577393427859
OR2B6,-0.33049129549337136,-0.32106687025119973,-0.382575628890931,-0.24824744753597242
C8A,-0.35614916896307314,-0.27267740223142073,-0.3254886848921133,-0.29957292237662625
MUSK,0.08086962498385782,0.04069918572167841,0.03922647776974558,-0.5017882827164736
ALOX15B,-0.6225076985195767,-0.5844046182540505,-0.5717691381995178,-0.0686453430683206
LOC100505498,0.3953596182299804,-0.0763446385809493,-0.327395301325227,-0.29191799375066374
RAPGEF5,0.13448949574689417,0.08589940908105173,-0.2693215342625453,0.07269362478714145
GPR171,-0.2090459931290164,-0.42423465717483333,-0.35461745890262714,-0.2905444118945842
ELP6,-0.3828679989671549,-0.14056791347695533,-0.26757041125232484,-0.10479140032321092
SLC12A2,-0.4541051368497408,-0.03587866531829836,-0.315967970046178,-0.3225932798959055
DLX5,-0.25115855502604423,-0.3265116427874941,-0.5122788933524125,-0.1669834663258752
HOXA5,0.22022643379660808,-0.21024153517277333,-0.5269319050330064,-0.31373004684931044
DCC,0.2703100141235419,0.070463711094096,-0.3082525277731832,-0.15573838205798543
CDH4,0.10662826030610961,-0.1264195274869414,-0.41445721655483797,-0.28530681706700056
CD34,-0.5413249396281321,-0.17193092539009625,-0.13526443770941576,-0.31006012363776475
HOXA7,0.42273884966066216,-0.2754099843134799,-0.320709059348655,-0.12002925669101602
CXCL10,-0.20006271259313926,-0.3015491897221094,-0.26043042559318896,-0.3156567199998823
CDC42EP3,0.07795237995933069,0.16157353905697347,0.028029573030975443,-0.14434987328520182
CIDEB,-0.2575416325604804,-0.10222701233506287,-0.024462815333531552,-0.13032084382259615
RASSF8,-0.2489673445956142,-0.2574255115376769,-0.2536861815549942,-0.3042475400901259
IGFBP2,0.050065264005932954,-0.09043405715104083,0.5098708199981569,-0.3492949323916513
TFPI,0.012192468965825431,0.10618039332366432,-0.08946616457289248,-0.2738962137700098
PLA2G7,-0.3137539340724443,-0.16111792508610825,-0.08537280463929312,-0.30043541897153464
