,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
OMP,18,91,cluster_09,#ff00ac,-0.8604760617954487,-0.8603420763753531
TMEM35,12,41,cluster_01,#ff9400,-0.8604935170738391,-0.8604560539027513
ADAM18,16,43,cluster_01,#ff9400,-0.8603725005671506,-0.8605014199484411
HSPB7,2,76,cluster_02,#d1ff00,-0.8605058916816787,-0.8605056526142281
GABRQ,10,63,cluster_01,#ff9400,-0.8605583981159037,-0.8605211199507282
PNMA2,2,72,cluster_01,#ff9400,-0.8607604313559999,-0.8605949500860848
ZFP2,24,35,cluster_01,#ff9400,-0.8605275343216281,-0.8606487733271341
TRPC4,10,80,cluster_01,#ff9400,-0.8607942623203955,-0.8606666937687559
ITIH2,1,70,cluster_01,#ff9400,-0.8606542551142461,-0.8607082593931689
SOX30,23,37,cluster_01,#ff9400,-0.86096924137409,-0.8608587178660413
LINC00837,28,65,cluster_01,#ff9400,-0.8609149790026881,-0.860959372706889
MRAS,25,92,cluster_02,#d1ff00,-0.8612352648322934,-0.8611943122409033
NLGN3,31,67,cluster_01,#ff9400,-0.8611347756281917,-0.8612132818469715
BMP2,12,64,cluster_01,#ff9400,-0.8613593227837029,-0.8613742497421866
LOC101928457,29,96,cluster_09,#ff00ac,-0.8613988413103342,-0.8614233058724432
TTC39A,14,42,cluster_01,#ff9400,-0.8615156153559083,-0.8614257941862661
ZNF334,27,39,cluster_02,#d1ff00,-0.8613125291441669,-0.8614510325246278
HOXD11,19,93,cluster_02,#d1ff00,-0.8613404682194846,-0.8614545038461803
SIRT5,0,77,cluster_01,#ff9400,-0.8615495399783383,-0.8615025211866859
ABCC8,40,87,cluster_01,#ff9400,-0.8614801695205236,-0.8615569345146301
EBI3,17,91,cluster_01,#ff9400,-0.8615982725134285,-0.8615798091615817
NFASC,21,24,cluster_01,#ff9400,-0.8615480333058958,-0.8616299548603383
EXOSC1,12,83,cluster_02,#d1ff00,-0.8617838270938968,-0.8616672889708896
FBXO24,30,97,cluster_01,#ff9400,-0.8616422652218028,-0.8617090592235523
FAM204A,33,65,cluster_09,#ff00ac,-0.8617910003982507,-0.8617446386257855
DDX4,15,90,cluster_01,#ff9400,-0.8617897116262716,-0.8618334205620414
GJA8,27,51,cluster_01,#ff9400,-0.8619273557340995,-0.8619703604825573
SIX6,13,85,cluster_01,#ff9400,-0.8622811638595249,-0.8622943464862919
RUNDC3B,6,49,cluster_01,#ff9400,-0.8623610734312348,-0.8623195173112307
HIF3A,17,72,cluster_01,#ff9400,-0.8623473480978233,-0.8623353424959831
ADAM22,38,95,cluster_02,#d1ff00,-0.8622623400468779,-0.8623403912461961
PRO1596,19,67,cluster_01,#ff9400,-0.8623285270654559,-0.862387268550576
TBC1D8,26,66,cluster_02,#d1ff00,-0.8624469942759058,-0.862449358172638
PF4V1,38,98,cluster_01,#ff9400,-0.8624750123032341,-0.8624579885298645
SNCB,29,93,cluster_01,#ff9400,-0.8626306344181546,-0.8624665183323073
ULK2,39,86,cluster_01,#ff9400,-0.8628743300711736,-0.8628807145159028
ITGA2B,39,98,cluster_01,#ff9400,-0.8628536287749828,-0.8629351496500559
DRD3,25,90,cluster_04,#00ff5c,-0.8629309515555393,-0.8629712014647687
ALDOB,0,82,cluster_01,#ff9400,-0.8632443274379894,-0.8631168195807738
RAG2,18,71,cluster_02,#d1ff00,-0.8631522464687499,-0.8631178751937215
HRASLS,14,88,cluster_01,#ff9400,-0.8629813303749515,-0.8631201732758138
KIF5A,18,38,cluster_01,#ff9400,-0.8631359124941359,-0.8631332666766326
USP2,1,74,cluster_02,#d1ff00,-0.8631368707956003,-0.8632173290087221
CRISP1,23,45,cluster_01,#ff9400,-0.8633488113168689,-0.8632623536818189
KCNQ3,10,71,cluster_09,#ff00ac,-0.8634011504334608,-0.8634340494161273
ANTXR1,14,76,cluster_01,#ff9400,-0.8634156747814162,-0.8634686127062107
PCDH8,26,60,cluster_01,#ff9400,-0.8636739443801801,-0.8635414030651105
FASLG,4,75,cluster_01,#ff9400,-0.8636609031182945,-0.8635848748698799
BAAT,30,66,cluster_01,#ff9400,-0.8636832507180543,-0.8637628764508231
NR2E3,13,73,cluster_01,#ff9400,-0.8639020634592858,-0.8638054596658751
