,GSM246548,GSM246667,GSM246670
ADIRF,-0.3556863969213587,-0.02722281859932744,-0.2348564760175342
ABCA8,-0.4442559633517114,-0.22550193171151545,-0.21269683380485624
SELE,-0.19033146324889477,-0.3962694167680618,-0.26457614471633284
CYP1B1,0.2035185846553815,0.6278137558141442,-0.24060007363921918
C8orf4,-0.14083863709038683,0.9832490242040598,-0.2267574130312782
C7,0.0382352566535519,1.172315345794424,-0.2542080571061836
PDGFRB,0.09730828903746745,-0.7557251080984309,-0.16154933680036324
FCN3,-0.330181222477198,-0.7398538877244418,-0.19996157435306686
PRSS23,-0.3555098260880341,-0.15922246061545323,-0.35668908049796333
ALDH1A3,-0.2984668754348202,0.2932176161623296,-0.19154659175627922
COL4A2,-0.4157701328559422,-0.2925084263803322,-0.2248325623393128
COL4A1,-0.30827180782028757,-0.6781602358474486,-0.3448682128785526
VWF,-0.018282202098130928,-0.40985231259448535,-0.020428411876416353
FN1,-0.3689811322014989,0.6018803904971519,-0.22960407644947228
CDH5,-0.48399222514094126,-0.3603069940493792,-0.33448867344255434
PODXL,-0.1902400601752447,-1.0518136357319772,-0.2980434557006411
APOLD1,-0.47568935738991525,-0.19035938749803225,-0.275566915106247
COL6A3,-0.03296513221034381,-0.14749353171519378,-0.19143184776500344
CRIP2,-0.3839397628943304,-0.16129035742552655,-0.18170954201407533
RFTN1,-0.32734361668877293,-0.12557612287671996,-0.2195053766070942
A2M,-0.5021538124720245,-0.6212015349898763,-0.2661142092738468
COL6A2,-0.08589660288463631,-0.5969310147737954,-0.492495092261392
GIMAP6,-0.19728432631902063,-0.616301429474951,-0.21392291361749105
IQCG,-0.7303867297081637,-0.3184312987324127,-0.318895476872543
HLA-DRA,-0.429318207151285,-0.450405775014016,-0.07298254189417508
HLA-DPB1,-0.47553771625065305,-0.3162356278737865,-0.022625375888445088
GAGE3,-0.07966449949096534,-0.2587995803209942,-0.1851750734722512
MAGEA12,-0.38841633751887295,-0.25893201800117305,-0.25286595431044867
CTAG2,-0.9126979758219039,-0.3419772395545131,-0.4168630786281143
MAGEA1,-0.39641600190774934,-0.6019496198870427,-0.257548486371115
MAGEA6,-0.33160417965434885,-0.2584045907380621,-0.16562212450098673
FGF13,-0.09759009440873812,-0.1191540131273559,-0.11049419260328962
GCDH,-0.1615913814182653,-0.14322762003242276,-0.23745431047664853
DOLPP1,-0.20800547677531542,-0.5507249368276717,-0.18441698865137274
UTY,-0.20597591683265834,-0.6639478761079775,-0.2582743300527836
TTTY15,-0.33249950003770656,-0.19932103260130943,-0.1747011168296734
USP9Y,0.18067306369729394,0.08968418034357041,-0.23745431047664853
EIF1AY,-0.22070008325209967,-0.20629377985994823,-0.26348544654322154
DDX3Y,-0.059572168374108635,-0.007575334390587741,-0.14073539780362532
TXLNGY,-0.5502507842046974,-0.32994404513768655,-0.17198592983943006
KDM5D,-0.38623517615184827,0.12662568009318453,-0.23745431047664853
RPS4Y1,-0.3027399161560605,-0.4646601092285661,-0.23146317377865216
RAPGEF4,-0.20284328911068783,-0.20700243947705319,-0.23745431047664853
PA2G4,-0.07510882914796506,-0.3161450128809335,-0.25080058510299513
GIPC1,-0.4103421727302903,0.20288817162882877,-0.18905058708735956
CYP27B1,-0.3347139115478991,-0.32576414060696396,-0.20282630120716388
FASN,-0.20301986298107474,-0.31556879444548624,-0.1872288639633279
NOP2,-0.20409384752175136,-0.3159219605872921,-0.32407817298414393
SIDT2,-0.3637276368442658,-0.3162356278737865,-0.33696269536278245
SLC25A10,-0.10504990658990242,-0.33206304031252437,-0.3729602976041421
GTPBP8,-0.32496301845095454,-0.33199565998407826,-0.30002629627923266
GALT,-0.3156317319459543,-0.2943253752386832,-0.23995673943397672
CCDC101,-0.35569470613686766,-0.3154897967541466,-0.24182872572862987
SGTA,-0.41233429472547456,-0.30602633605532253,-0.32934466391136974
GBP2,-0.34577141966966585,-0.3233314775851131,-0.2280002499580596
PARP12,-0.32843420467293355,-0.37031644087384663,-0.25147485990442775
RSAD2,-0.32480722011085655,-0.39604636537706644,-0.19154659175627922
GBP1,-0.4157805193050536,0.09116193196985405,-0.07391856350828595
IFIT3,-0.032308680278026955,-0.31312218940494096,-0.2385024686457278
IFI27,0.09427942587348026,-0.0954776934092551,0.2007242247565693
