,GSM246548,GSM246667,GSM246670
ADIRF,-0.377122985218688,-0.845270051906562,-0.40348013107874586
ABCA8,-0.47694072664867465,0.45866391371489074,-0.5091541090070381
SELE,-0.45138998467913755,-0.64072194339002,-0.4016259677858422
CYP1B1,-0.5035308022098053,-0.37286942209717167,-0.4488025669702638
C8orf4,-0.38366288385325015,-0.06167238085139325,-0.4200219886281988
C7,-0.34978410882216443,-0.6131186941686644,-0.24654304837584928
PDGFRB,-0.3355361492164272,-0.5103454054177882,-0.3542786793696363
FCN3,-0.2103123916936547,-0.4524555812220683,-0.7371059849872758
PRSS23,-0.3321477867424837,-0.39258876099556894,-0.10547148225111927
ALDH1A3,-0.3620820010734987,-0.3351057220805466,-0.44307667838831283
COL4A2,-0.5520161161850238,-0.3308394511481425,-0.11650224204866315
COL4A1,0.35678644466246995,-0.28626017738279796,0.12604465562591907
VWF,-0.08563420710987311,-0.42528540634693807,0.8546618304049363
FN1,-0.3273799206694073,-0.324205070847571,-0.41938745460226096
CDH5,0.07266111721006513,-0.28659885401915247,0.10328039014353702
PODXL,0.14548467311548605,-0.5208522036255289,-0.29706394390375845
APOLD1,0.2875807321331422,-0.3777657838538447,-0.22436799703389287
COL6A3,0.9151368225666514,-0.17987620932270487,-0.23532299106794505
CRIP2,-0.25574253183620904,-0.26668256367490845,0.8845258304697342
RFTN1,0.38598000328589444,-0.40440040716145637,-0.06906886623616873
A2M,-0.20564143042681718,-0.41905797580567156,-0.1461716002404632
COL6A2,0.26650105639108834,0.07243918155855195,-1.226596572287567
GIMAP6,1.6669710301263163,0.9100271935831964,-0.05934150177077064
IQCG,0.21949586520827968,-0.30178154081077185,0.08497481457535021
HLA-DRA,-0.8299816874855374,-0.501700004621401,-0.4076155998372871
HLA-DPB1,0.2763503134714057,0.05024387682453071,-0.20241811604025992
GAGE3,-0.414324874600021,-0.3509001099189726,-0.11235145925999718
MAGEA12,-0.2749507658677462,-0.20589923026475052,-0.32502653612919274
CTAG2,-0.5533161330410026,-0.7358708492096577,0.613843124225939
MAGEA1,-0.6779582483816166,-0.14074450955536993,-0.6795914651075929
MAGEA6,0.150596004989998,0.17389606985064787,0.2269417020358177
FGF13,0.2552134382725662,1.0596503483637945,-0.4200631921349265
GCDH,-0.06158940595031897,-0.14241689489974263,-0.42929139671091393
DOLPP1,0.26313002781116496,0.9091739158453958,-0.20534916678815637
UTY,-0.25599205151280197,-0.6076473994655238,-0.7268976726976168
TTTY15,-0.17793507979111617,-0.46813441079839757,-0.160413553084137
USP9Y,-0.13413054572720823,-0.04997878843110375,-0.42929139671091393
EIF1AY,-0.35119539503661873,-0.7308485084278701,-0.49677263054960724
DDX3Y,-0.134896593863989,0.8330747353844831,-0.49827653864526034
TXLNGY,0.10932873018697141,1.0767422176886468,-0.058770111320079046
KDM5D,-0.13313881529371235,1.2474827340937273,-0.42929139671091393
RPS4Y1,-0.2395142070741363,1.2787339477084791,-0.32338798327133544
RAPGEF4,-0.032457139040107004,0.48632822177645973,-0.42929139671091393
PA2G4,-0.3126090609720461,-0.22301424161430744,-0.4264346241120724
GIPC1,-0.7235807151460469,-0.16764968991961263,-0.5202555277535896
CYP27B1,-0.4227623532194343,-0.2642645689202747,-0.41465042243285094
FASN,-0.26690257314464877,0.4215244033546796,-0.3749149636615325
NOP2,-1.0370727095868986,1.8282736586734778,0.9606694843406742
SIDT2,-0.8982182969157496,-0.587169419134929,-0.5535582844915607
SLC25A10,0.187131911970099,0.8887608921062444,-0.23591771370511425
GTPBP8,-0.3563351455917647,-0.05599361149833539,-0.26291778316876163
GALT,-0.5306993183896939,0.7125292757915944,-0.24843434493992458
CCDC101,0.5884850206688709,0.3746839264341716,-0.3931737226464901
SGTA,-0.00317541304593221,-0.18931716980796706,-0.07395177185602897
GBP2,-0.5112466981095628,-0.22830705558495198,-0.5537217213454289
PARP12,-0.44324495048947765,-0.38778954045185554,-0.38956977171395357
RSAD2,-0.34047406618899245,-0.33121225760602035,-0.5133403201034455
GBP1,0.815026685805522,0.001883669440553288,0.2986372820338162
IFIT3,0.12600250598966575,0.10576103883629777,-0.014921222310333472
