,GSM246528,GSM246538,GSM246553,GSM246563,GSM246628,GSM246633,GSM246641,GSM246668,GSM246669
COL4A1,5.938180640246179,-0.5388406856119891,0.10654286464339974,0.8232782967493275,-0.9553619642623665,-0.9224583475907145,4.872020807827342,0.42535021783522725,0.254454834113836
VWF,6.737322400228212,-0.18769726908414833,0.515352120968788,1.605626150704972,-0.3981139719255317,-0.222077610143002,3.997638034491216,-0.4040101688105554,0.7126519922878384
FN1,4.173378610070924,-0.21598248113094617,3.5580053359177897,1.4839075956340846,-0.5492168626651474,-0.2995777206472749,2.140770917333243,-0.2561004043994199,-0.08149110274226896
CDH5,4.326977879976273,0.3593321407276288,0.033921564583523536,1.3797754508718036,-0.5410711021940082,-0.43523062460501893,3.6781888339530906,0.5116914900615315,-0.14922457600613825
PODXL,1.0668653208125578,-0.20506456726512504,1.9588208680581547,0.18491694483700016,-0.010015159672800845,-0.5136114201463002,2.9229733354229412,1.0064101364593965,2.3986002845105565
APOLD1,-0.05817633095394061,0.05991159524235394,2.6177011189114903,0.6814407605755344,-0.1660543201066976,-0.23006749177060384,1.829694699756739,0.9794896150147803,0.17689302271491195
COL6A3,1.8959432846702449,-0.6163127549112151,4.421162325148326,1.844446479698137,-0.08788008896239155,-0.2942414303587576,1.8947820640610218,0.14678418667983725,0.5085080112201802
CRIP2,-0.1432630549145154,0.23812173544901344,1.4943670153843136,-0.28640856251237085,-0.4383258551992569,-0.37734933473226256,0.300964878219619,0.11697452078126683,0.08285508271433155
RFTN1,-0.5827183456498534,-0.4578283247126575,2.8175008975625717,0.21767046472716808,-0.3928260350161468,-0.0863287796914501,3.0346185823991374,0.23493199541761228,0.9220997771704477
A2M,0.21307870669498596,-0.4839670329003738,0.5952885444226516,-0.13031670118278016,0.1978806908406713,-0.3596903510386764,1.9941313297883672,-0.1325004598505046,1.5673112069127813
COL6A2,0.34159889370381014,0.24994485566768532,-2.241529934890131,-0.5888687998652569,0.8778996151725292,-0.13507209464317654,-0.6227673665717212,0.15293030317064094,0.17385690106574528
GIMAP6,2.0620427323535875,-0.3107628939277127,2.7538555484185783,0.5064199560523756,0.30681863195292625,-0.4615706680466514,1.3344743668343795,1.0449327598366978,1.3539099849025702
IQCG,0.6816676560673344,0.37727375003092123,-0.12879654661689718,0.0448046076829964,-0.2872919893972814,-0.4630364776997964,1.1327663548872466,0.7511133307374166,0.5218794191756118
HLA-DRA,0.5510700291017927,-0.7593586446497771,4.984460169878153,-0.39402105262234954,-0.4077159149456499,-0.6706942675896256,-1.5609912616286876,-0.5083191320464295,-0.24164603777666388
HLA-DPB1,0.939730279300669,-0.39525103625291697,2.8968418673410667,1.1418332304684857,-0.048689024121777266,-0.5506590246850601,-1.0392855562994538,-0.8082385466572919,0.19916664155735336
GAGE3,0.2281837969104581,-0.36396106595311856,-0.3379946661748443,-0.5209641446599229,-0.15145635978595762,-0.42354253034800665,-0.3789949675237686,-0.21958127937273564,0.1866818981162724
MAGEA12,-0.29860176627524254,-0.5692099390896689,-0.05845122786946308,0.11683400771492285,-0.33496514236984876,0.7310148691909168,-0.5550412830183137,-0.271290502992465,-0.024969626070517618
