,CR,PR,MR,PD
HCP5,-0.18125048547935244,0.021278107882609698,-0.1862944141328836,0.2023058113761893
HLA-C,0.06260464387609928,0.5163797165517326,0.9801092153664577,0.42221848734544837
HLA-A,-0.5296635425370538,-0.6541892314981188,-0.7520522336517579,1.5945840576733536
HCG26,1.713469871265989,1.3385460017455058,2.2785490988600676,-0.6018955255525968
HLA-B,0.7814673856895382,1.7508095224440117,2.81699738574751,-0.9038848031923632
NACAP1,-1.2017679134481882,-1.2167601505428334,-0.8488046685613846,1.4156324167608967
RPL37A,-0.7081056653983016,0.1257708930668987,-0.03277079029335174,0.7587143716711608
RPL27A,0.40183217555904943,1.1387270314347147,1.4138632289767719,-0.5301139378273018
RPS11,-0.3393988837455466,-0.44797668898997367,-0.13579758312484427,1.3236804117218441
HIST3H3,0.08013134578934106,1.4915357391143438,1.2278439006755013,-0.9983990322262777
RPLP1,-0.034863917217048214,0.5247598894893352,1.1370469741748874,-0.5694962098806877
HUWE1,-0.6464751159692136,-1.3372366717849256,-0.537533579794946,4.331227129446105
EEF1A1,0.2414484500853825,0.40040375129632594,0.23715241731506595,-0.3503494865032394
RPL41,-0.04380914529948216,0.3122418944406972,0.06383592186038513,0.9474457956860519
FGF22,0.427967204592981,0.3768396411050808,0.46843116392094203,-0.029990267451630647
IKZF3,-0.048587100101856316,-0.16047554268966074,-0.36792229235063595,-0.20906784836441147
FOLR1,-0.5694883342518376,-0.49789822664719485,-0.5085202838751591,0.18246836308692768
CENPJ,-0.4908692979174975,-0.03710515993963935,-0.1465433568489824,-0.17789971022050663
NRXN1,-0.14561431159885532,-0.1378771383223226,-0.12126141756686845,-0.31913064610683517
AKT2,-0.26926921355681716,-0.21202482754830312,-0.32579166778367286,-0.25929143952561984
MAGEA10,-0.27596112575037157,-0.22484858268371244,-0.2716415254692807,-0.3148863285113428
CUBN,-0.1968425212244185,0.0023040619619988495,-0.1666058243946256,-0.40045073870796927
CPA3,0.10265800946084706,-0.04646393745272282,0.005094447918765195,-0.380305743857529
TPTE,-0.24434715240631485,-0.06229797062276204,-0.22471314525465255,-0.37730103884277105
ZFPM2,-0.09152807120821606,-0.36496046027641804,-0.4060951089138958,0.23129300116224982
AFF4,-0.20319357174744393,0.04331607288269516,-0.0856198666922269,-0.17547195281656414
KCNC3,-0.2864406386038501,-0.1040822762961837,-0.2662160520197301,-0.27361037264622906
KCNJ16,-0.26976828944974623,-0.06570282369989516,-0.23267964854299178,-0.30256771222006706
ATXN8OS,0.06884214073527574,-0.044676335826595616,-0.19513868235982346,-0.4911454777070196
CXCL11,-0.026224248300354174,-0.35801371101595175,-0.3049673933448228,0.09381511143233551
GPR17,-0.42444693000451794,-0.1869154328219224,-0.37006545584434336,-0.2511051198442743
CBL,-0.09265179588435547,-0.30633860716102124,-0.2820147193935586,0.10769685586140891
AKAP5,0.005410921434371441,0.008835385161181606,-0.4312217086912478,-0.25701505800927515
AGT,-0.07988263292768191,0.08371869304440868,-0.13167813747967747,-0.20229423324640933
CD2,0.026015503992159312,0.13918729598942373,0.1307328747271716,-0.23966816262032464
LTBP2,-0.36311119255470664,0.25102343154446644,-0.22672805442675456,-0.13289770526478287
CX3CL1,-0.21745319718395847,-0.13431710032672767,-0.16450678623857065,-0.1590837219501535
PAQR3,0.03825175858547724,-0.08362401906837595,-0.07753201450051155,0.47698612657074996
AMOTL2,-0.4111495220733301,-0.1282171484643649,-0.01914473252799525,0.03445209645234666
COL5A1,-0.2832307147122578,-0.013898817280894793,-0.19801604407121323,-0.28177605865664695
KLRD1,-0.1160094301710572,0.39532459031485734,0.019326510883510412,-0.27230694594092825
FBLN5,-0.0330682603246887,0.5073947575022141,-0.0034666264839300015,-0.1931208707779137
MRC1,-0.30898702556514984,0.21570861510087252,-0.05306535865737056,-0.15815261292479832
APLNR,-0.29215969102591915,0.19936813067629428,-0.16742630018930396,-0.24026607520187848
ACTA2,-0.13455532814757412,-0.03766363902082876,-0.12201128237765656,-0.22316732370116324
TNFAIP1,0.1912663102971955,0.6704289183085612,0.7884242770050882,-0.4565335381166534
TM4SF1,0.12503615268715604,0.9334643160900001,0.5727828150819255,-0.46429222625312166
GJA1,0.09265808921918804,0.6854732060600889,0.2575590468104459,-0.04698629619429091
NR2F2,-0.42903827132747274,0.012228002156835914,0.4613863081842159,-0.21544400068290823
HSPG2,-0.1415507484527253,0.2059714529253634,0.30725626986612276,-0.10143731672363548
KDR,0.34440171495867383,1.2224411217688154,1.6106242873173593,-0.38653873794639426
PDE2A,-0.2845091599050197,0.6099449757484694,0.8468768919162523,-0.32937480788705087
DNASE1L3,-0.7629188955352788,0.4430112094864905,0.5106863752214851,-0.14279656818828376
EPAS1,-0.1403997236988117,0.7768090749414835,1.5585336985433613,-0.4484883161054942
EMP1,-0.08977545757272117,0.4877046641942123,1.5756347229939505,-0.37232780601702237
IGFBP4,0.12533336928093158,1.4031936415454167,3.5898282282793224,-0.5007005249684959
ELTD1,0.3983478735724109,0.3507770968198902,2.1632774634917378,-0.23841757007790523
RGS5,-0.1946397216513469,0.8935703052032535,1.0899454561331092,-0.48265682697357787
SERPING1,-0.07920770674634972,0.43401369691225344,1.7678501458553666,-0.20325643312841768
